"Category","Course","Name","Credit Hours"
"Intelligence and Big Data","CS 545","Machine Learning for Signal Processing","4"
"Intelligence and Big Data","CS 546","Advanced Topics in Natural Language Processing","4"
"Intelligence and Big Data","CS 548","Models of Cognitive Processes","4"
"Intelligence and Big Data","CS 562","Advanced Topics in Security, Privacy, and Machine Learning","4"
"Intelligence and Big Data","CS 567","Social Signals and Social Media","4"
"Intelligence and Big Data","CS 576","Topics in Automated Deduction","2 to 4"
"Intelligence and Big Data","CS 582","Machine Learning for Bioinformatics","4"
"Human and Social Impact","CS 409","The Art of Web Programming","3 or 4"
"Human and Social Impact","CS 416","Data Visualization","3 or 4"
"Human and Social Impact","CS 417","Virtual Reality","3 or 4"
"Human and Social Impact","CS 441","Applied Machine Learning","3 or 4"
"Human and Social Impact","CS 442","Trustworthy Machine Learning","3 or 4"
"Human and Social Impact","CS 460","Security Laboratory","3 or 4"
"Human and Social Impact","CS 461","Computer Security I","4"
"Human and Social Impact","CS 463","Computer Security II","3 or 4"
"Human and Social Impact","CS 464","Topics in Societal and Ethical Impacts of Computer Technology","3"
"Human and Social Impact","CS 465","User Interface Design","4"
"Human and Social Impact","CS 467","Social Visualization","3 or 4"
"Human and Social Impact","CS 468","Tech and Advertising Campaigns","3"
"Human and Social Impact","CS 469","Computational Advertising Infrastructure","3"
"Human and Social Impact","CS 470","Social and Information Networks","3"
"Human and Social Impact","CS 500","Current Topics in Computing Education Research","4"
"Human and Social Impact","CS 514","Advanced Topics in Network Science","4"
"Human and Social Impact","CS 562","Advanced Topics in Security, Privacy, and Machine Learning","4"
"Human and Social Impact","CS 563","Advanced Computer Security","4"
"Human and Social Impact","CS 565","Human-Computer Interaction","4"
"Human and Social Impact","CS 567","Social Signals and Social Media","4"
"Media","CS 409","The Art of Web Programming","3 or 4"
"Media","CS 414","Multimedia Systems","3 or 4"
"Media","CS 416","Data Visualization","3 or 4"
"Media","CS 417","Virtual Reality","3 or 4"
"Media","CS 418","Interactive Computer Graphics","3 or 4"
"Media","CS 419","Production Computer Graphics","3 or 4"
"Media","CS 445","Computational Photography","3 or 4"
"Media","CS 448","Audio Computing Laboratory","3 or 4"
"Media","CS 465","User Interface Design","4"
"Media","CS 467","Social Visualization","3 or 4"
"Media","CS 468","Tech and Advertising Campaigns","3"
"Media","CS 469","Computational Advertising Infrastructure","3 or 4"
"Media","CS 519","Scientific Visualization","4"
"Media","CS 545","Machine Learning for Signal Processing","4"
"Media","CS 565","Human-Computer Interaction","4"
"Media","CS 567","Social Signals and Social Media","4"
"Scientific, Parallel, and High Perfomance Computing","CS 419","Production Computer Graphics","3 or 4"
"Scientific, Parallel, and High Perfomance Computing","CS 435","Cloud Networking","3 or 4"
"Scientific, Parallel, and High Perfomance Computing","CS 450","Numerical Analysis","3 or 4"
"Scientific, Parallel, and High Perfomance Computing","CS 457","Numerical Methods II","3"
"Scientific, Parallel, and High Perfomance Computing","CS 466","Introduction to Bioinformatics","3 or 4"
"Scientific, Parallel, and High Perfomance Computing","CS 482","Simulation","3 or 4"
"Scientific, Parallel, and High Perfomance Computing","CS 483","Applied Parallel Programming","4"
"Scientific, Parallel, and High Perfomance Computing","CS 484","Parallel Programming","3 or 4"
"Scientific, Parallel, and High Perfomance Computing","CS 519","Scientific Visualization","4"
"Scientific, Parallel, and High Perfomance Computing","CS 554","Parallel Numerical Algorithms","4"
"Scientific, Parallel, and High Perfomance Computing","CS 555","Numerical Methods for PDEs","4"
"Scientific, Parallel, and High Perfomance Computing","CS 556","Iterative & Multigrid Methods","4"
"Scientific, Parallel, and High Perfomance Computing","CS 558","Topics in Numerical Analysis","4"
"Distributed Systems, Networking, and Security","CS 407","Cryptography","3 or 4"
"Distributed Systems, Networking, and Security","CS 423","Operating Systems Design","3 or 4"
"Distributed Systems, Networking, and Security","CS 424","Real-Time Systems","3 or 4"
"Distributed Systems, Networking, and Security","CS 425","Distributed Systems","3 or 4"
"Distributed Systems, Networking, and Security","CS 431","Embedded Systems","3 or 4"
"Distributed Systems, Networking, and Security","CS 435","Cloud Networking","3 or 4"
"Distributed Systems, Networking, and Security","CS 436","Computer Networking Laboratory","3 or 4"
"Distributed Systems, Networking, and Security","CS 437","Topics in Internet of Things","3 or 4"
"Distributed Systems, Networking, and Security","CS 438","Communication Networks","3 or 4"
"Distributed Systems, Networking, and Security","CS 439","Wireless Networks","3 or 4"
"Distributed Systems, Networking, and Security","CS 460","Security Laboratory","3 or 4"
"Distributed Systems, Networking, and Security","CS 461","Computer Security I","4"
"Distributed Systems, Networking, and Security","CS 463","Computer Security II","3 or 4"
"Distributed Systems, Networking, and Security","CS 483","Applied Parallel Programming","4"
"Distributed Systems, Networking, and Security","CS 484","Parallel Programming","3 or 4"
"Distributed Systems, Networking, and Security","CS 523","Advanced Operating Systems","4"
"Distributed Systems, Networking, and Security","CS 524","Concurrent Progrmg Languages","4"
"Distributed Systems, Networking, and Security","CS 525","Advanced Distributed Systems","4"
"Distributed Systems, Networking, and Security","CS 537","Advanced Topics in Internet of Things (IoT)","4"
"Distributed Systems, Networking, and Security","CS 538","Advanced Computer Networks","4"
"Distributed Systems, Networking, and Security","CS 562","Advanced Topics in Security, Privacy, and Machine Learning","4"
"Distributed Systems, Networking, and Security","CS 563","Advanced Computer Security","4"
"Machines","CS 423","Operating Systems Design","3 or 4"
"Machines","CS 424","Real-Time Systems","3 or 4"
"Machines","CS 426","Compiler Construction","3 or 4"
"Machines","CS 431","Embedded Systems","3 or 4"
"Machines","CS 433","Computer System Organization","3 or 4"
"Machines","CS 437","Topics in Internet of Things","3 or 4"
"Machines","CS 484","Parallel Programming","3 or 4"
"Machines","CS 523","Advanced Operating Systems","4"
"Machines","CS 526","Advanced Compiler Construction","4"
"Machines","CS 533","Parallel Computer Architecture","4"
"Machines","CS 534","Advanced Topics in Computer Architecture","4"
"Machines","CS 536","Fault-Tolerant Dig Syst Design","4"
"Machines","CS 541","Computer Systems Analysis","4"
"Machines","CS 584","Embedded System Verification","4"
"Machines","CS 588","Autonomous Vehicle System Engineering","4"
